test_mstar,z5_fit,z5_q16,z5_q84,z7_fit,z7_q16,z7_q84,z10_fit,z10_q16,z10_q84
5.46,6.70557167860529,6.45141833688981,6.98443575184627,8.08303439229204,7.18152325115153,8.81477304687358,9.51224291737751,7.698478629121,12.1997104309523
5.47,6.71177390981258,6.45831073720313,6.9895302887289,8.08469517703732,7.18661843599603,8.81411116546917,9.50994734492224,7.70202489630417,12.1892682400299
5.48,6.71797683949062,6.4652043457418,6.99485288746611,8.08639204018282,7.19171362084054,8.81344928406477,9.50702716313843,7.70557116348734,12.1788260491075
5.49,6.72418047023658,6.47209916570385,7.00018229327759,8.08842315424743,7.19680880568504,8.81278740266037,9.50410698135462,7.70911743067051,12.1683838581851
5.5,6.73038480464764,6.47899520028734,7.00551267275966,8.09045426831205,7.20190399052955,8.81212552125596,9.50118679957082,7.71303970194158,12.157365172786
5.51,6.73658984532099,6.4858924526903,7.01067182351962,8.09248538237667,7.20699917537405,8.81146363985156,9.49826661778701,7.71766302607484,12.1457815402909
5.52,6.74279559485382,6.49279092611079,7.01582761250588,8.09451649644129,7.21209436021856,8.81080175844716,9.49559337177082,7.7222863502081,12.1341979077958
5.53,6.74873877191909,6.49969062374684,7.02098612998073,8.0965476105059,7.21718954506307,8.81013987704275,9.49307300108272,7.72690967434137,12.1226142753008
5.54,6.75451519148363,6.50692790801939,7.02614737746558,8.09857872457052,7.22228472990757,8.80947799563835,9.49055263039462,7.73153299847463,12.1110306428057
5.55,6.76089567503389,6.51424248456306,7.03131135648187,8.10060983863514,7.22737991475208,8.80812417088684,9.48803225970651,7.73615632260789,12.0994470103106
5.56,6.76738056393139,6.52155706110672,7.03647806855102,8.10264095269976,7.23247509959658,8.8066798176551,9.48551188901841,7.74077964674116,12.0878633778155
5.57,6.77383506670603,6.52887163765039,7.04164751519444,8.10467206676437,7.23757028444109,8.80613395349097,9.48396519250239,7.74540297087442,12.0762797453204
5.58,6.78004512678911,6.53618621419406,7.04681969793357,8.10670318082899,7.24266546928559,8.80494542597997,9.48309678288572,7.75002629500768,12.0646961128253
5.59,6.78625591887474,6.54350079073772,7.05199461828982,8.10873429489361,7.2477606541301,8.80361568995832,9.48222837326906,7.75464961914095,12.0531124803302
5.6,6.79246744806491,6.55081536728139,7.05717227778461,8.11076540895823,7.25285583897461,8.80228595393666,9.48135996365239,7.75927294327421,12.0415968204705
5.61,6.79867971946156,6.55817408419621,7.06235267793939,8.11279652302284,7.25795102381911,8.80095621791501,9.48049155403572,7.76389626740747,12.0310251650131
5.62,6.80468633170982,6.56544452036872,7.06753582027555,8.11482763708746,7.26304620866362,8.80014915485194,9.47962314441905,7.76851959154074,12.0209544397024
5.63,6.81066973013769,6.57246809851816,7.07272170631454,8.11685875115208,7.26814139350812,8.79941721527378,9.47875473480239,7.773142915674,12.0116341471909
5.64,6.81689435195571,6.57931478393238,7.07791033757776,8.1188898652167,7.27323657835263,8.79868527569562,9.47788632518572,7.77776623980726,12.0023138546794
5.65,6.82340899849355,6.58616361221024,7.08310171558665,8.12092097928131,7.27833176319714,8.79820171010888,9.47701791556905,7.78238956394053,11.9929935621679
5.66,6.82975238811088,6.59301458790389,7.08829584186263,8.12250445853898,7.28342694804164,8.7977513412446,9.47614950595239,7.78701288807379,11.9836732696564
5.67,6.8359692198877,6.59986771556552,7.09349271792712,8.12407180997519,7.28852213288615,8.79730097238033,9.47528109633572,7.79163621220705,11.9743529771449
5.68,6.84218682958476,6.60672299974732,7.09869234530154,8.12563916141139,7.29361731773065,8.79685060351606,9.47441268671905,7.79625953634032,11.9650326846334
