mstar,z5_withAGN,z5_withAGN_q16,z5_withAGN_q84,z7_withAGN,z7_withAGN_q16,z7_withAGN_q84,z10_withAGN,z10_withAGN_q16,z10_withAGN_q84,z5_withoutAGN,z5_withoutAGN_q16,z5_withoutAGN_q84,z7_withoutAGN,z7_withoutAGN_q16,z7_withoutAGN_q84,z10_withoutAGN,z10_withoutAGN_q16,z10_withoutAGN_q84
5.53,-2.90041777806634,-3.64724174666813,-2.16536840630228,-3.50257859100587,-4.51765719530111,-2.50324319999259,-2.95480436361673,-4.94381793313861,-1.06252210449175,-3.09041396268983,-3.80691873362198,-2.36932187357176,-2.6855957884129,-3.41695838597152,-1.9505802408154,-2.3036765082932,-4.81067835469847,0.219069360263716
5.54,-2.89060156436321,-3.63497021444812,-2.15750871051186,-3.49048633081178,-4.50301637390105,-2.49463481467286,-2.94450700072665,-4.92768346450336,-1.0570609028471,-3.07991943663964,-3.79432658309666,-2.36077323296146,-2.67615858727563,-3.40527318423762,-1.94295167787238,-2.29441431684695,-4.79571397193035,0.221285863886454
5.55,-2.88096088540213,-3.62269868222812,-2.14964901472143,-3.47864125822783,-4.48837555250099,-2.48587483290449,-2.93441623299964,-4.9115489958681,-1.05181382559948,-3.06942491058944,-3.78173443257133,-2.35229755234852,-2.66672053074617,-3.39359370719049,-1.93532311492937,-2.28515212540071,-4.78078980377879,0.223502367509192
5.56,-2.87096913695696,-3.61042715000811,-2.14195872005967,-3.4667499757266,-4.47345820117968,-2.47686342256327,-2.92381670845752,-4.89541452723285,-1.04694337304242,-3.05885118154342,-3.76914228204601,-2.34384234848872,-2.65717808231939,-3.38194605686898,-1.92763891971992,-2.27588993395446,-4.76521236273518,0.224856368406213
5.57,-2.86115292325383,-3.59815561778811,-2.13428186673684,-3.45476213134952,-4.45894471137167,-2.4677131711357,-2.91308204309444,-4.87928005859759,-1.04133404487637,-3.04821045578241,-3.75648750952036,-2.33538714462892,-2.6475206731207,-3.37029840654748,-1.92034297750938,-2.26662774250821,-4.74935428684892,0.225775089293664
5.58,-2.8513367095507,-3.5858840855681,-2.12660501341402,-3.44277428697244,-4.4444530883008,-2.45856291970814,-2.90234737773136,-4.8626766724517,-1.03607259385662,-3.0375697300214,-3.74382465652418,-2.32693194076911,-2.63785382935304,-3.35865075622597,-1.9126507232031,-2.25736555106197,-4.73330011037248,0.227646975135377
5.59,-2.84136270555391,-3.5734770807283,-2.11899006845908,-3.43055182214571,-4.42981226690074,-2.44941266828057,-2.89173066491156,-4.84579891283497,-1.030825516609,-3.0269220714772,-3.731161803528,-2.31847673690931,-2.62818698558537,-3.34700310590447,-1.90494260921456,-2.24810335961572,-4.71763813507639,0.228616121592792
5.6,-2.83148582329306,-3.56125296352733,-2.11132791302518,-3.41815020048048,-4.41515548157568,-2.440262416853,-2.88126928358626,-4.82892115321824,-1.02620375861939,-3.01607108625407,-3.71862806376852,-2.31002153304951,-2.61852014181771,-3.33535545558296,-1.89781877861567,-2.23884116816947,-4.70178005919013,0.229304092177036
5.61,-2.82165396366588,-3.54906948890808,-2.10357445344554,-3.40628174445359,-4.40022226590635,-2.43111216542543,-2.87036810611911,-4.8120433936015,-1.02033136211376,-3.00557852440509,-3.70586122264823,-2.30156632918971,-2.60885329805004,-3.32370780526145,-1.89043907999608,-2.22957897672322,-4.68592198330386,0.230785826037221
5.62,-2.81187358058835,-3.53679795668808,-2.09589760012272,-3.39430751667875,-4.38528905023702,-2.42196191399787,-2.85940871627905,-4.79516563398477,-1.01508428486614,-2.99500682697735,-3.69317324453946,-2.2931111253299,-2.59918645428238,-3.31206015493995,-1.88295312110035,-2.22077348357134,-4.6700639074176,0.232440210721553
5.63,-2.80208891338565,-3.52452642446807,-2.08822074679989,-3.38204284455038,-4.37035583456768,-2.41286245474833,-2.84891131877591,-4.7780563677513,-1.00983720761853,-2.98436610121634,-3.68051039154328,-2.2846559214701,-2.58951961051471,-3.30041250461844,-1.87546716220463,-2.21238436722182,-4.65420583153134,0.234094595405885
5.64,-2.79215838478435,-3.51249422417276,-2.08054389347707,-3.36977817242201,-4.35542261889835,-2.40382869778548,-2.83832659148837,-4.76055770739312,-1.00459013037091,-2.97372537545532,-3.6678475385471,-2.27602011673813,-2.57985276674705,-3.28876485429694,-1.86823416106621,-2.2039952508723,-4.63834775564507,0.236354569076158
5.65,-2.78232652515717,-3.50061262664433,-2.07286704015424,-3.35785151475074,-4.34048940322901,-2.39463812536603,-2.82720472018981,-4.74305904703494,-0.999343053123286,-2.96308464969431,-3.65509052499912,-2.26725549984603,-2.570406316477,-3.27717199652213,-1.86084264328303,-2.19477200327859,-4.62248967975881,0.238278452562064
5.66,-2.77191465172888,-3.4887310291159,-2.06519018683142,-3.34622949452589,-4.32555618755968,-2.38544755294658,-2.81629310329571,-4.72638678896526,-0.994095975875667,-2.95227157097306,-3.64228963067553,-2.25914337994524,-2.56105867821299,-3.26602851056975,-1.85306528460124,-2.18574937276711,-4.60663160387254,0.239760635779347
5.67,-2.7625141047166,-3.47684943158747,-2.05751333350859,-3.33397782865704,-4.31065902711021,-2.37639406779346,-2.80640152689893,-4.71012021873162,-0.988848898628047,-2.94146859129445,-3.62979812978214,-2.25044694144317,-2.55171103994898,-3.25459228403957,-1.84583663647788,-2.17681352410174,-4.59077352798628,0.24202019280701
5.68,-2.75283094627564,-3.46496783405904,-2.04983648018577,-3.32199680099392,-4.29589149153391,-2.36765582871134,-2.7961075335945,-4.69385364849798,-0.983601821380428,-2.93056778090176,-3.61719612656238,-2.2417505029411,-2.54236340168498,-3.24263819316839,-1.83897968891755,-2.16744787703596,-4.57491545210002,0.244279749834672
5.69,-2.74280548440186,-3.45280287337731,-2.04195992650938,-3.31022269680869,-4.28117644315985,-2.35849410689338,-2.78545345252643,-4.67762908721635,-0.978354744132808,-2.91956647598088,-3.60475951088814,-2.23312307069243,-2.53301576342097,-3.23068410229719,-1.83192107974225,-2.15860633066837,-4.55905737621375,0.246539306862335
5.7,-2.73255245520943,-3.44039114259701,-2.03431187701397,-3.29869887821094,-4.26648819637645,-2.34922781730992,-2.77479937145835,-4.66212096368154,-0.972643980747539,-2.9089776241026,-3.59232362710196,-2.22503231346284,-2.52358380434444,-3.21907383939903,-1.82435507993792,-2.14976478430078,-4.54319930032749,0.248798863889997
5.71,-2.72229942601699,-3.42869253191912,-2.02674246559649,-3.28688638111462,-4.25160514409157,-2.33996152772647,-2.76377222770811,-4.64661284014672,-0.966471898294668,-2.89848668509013,-3.57983212620858,-2.21694155623324,-2.51404135591766,-3.20763608343112,-1.8167890801336,-2.14183087521173,-4.52723939815901,0.25105842091766
