SFRBurst50,SFRBurst16,SFRBurst84,AGNlum50,AGNlum16,AGNlum84,Mstar50,Mstar16,Mstar84,RA,DEC,VISITID,MODULE,COLID,z,LP
0.0003143688947394,5.19846316226197e-05,0.000232484223999468,1.19280645303645e+45,1.88758835157585e+43,1.96948425921127e+43,102788.446426319,15404.8027464371,77991.2008149581,214.74460043412,52.7502991486977,1345061001,NRCB,61,5.206,-5.65662159897829
0.53020831301462,0.235014538779423,0.455449347474131,5.58600802492005e+44,2.17733173592178e+43,2.4097864496108e+43,157175773.946313,68749507.3279756,134935601.847983,214.753355300787,52.7409714689451,1345061001,NRCB,62,5.452,1.27917791842384
5.86882482217807,5.86588336778969,59.4412399635076,3.9892110852321e+39,3.51130892316713e+39,1.51266650291737e+40,754708388.792257,754439211.369388,12567159166.5239,215.010709468891,53.0132889048806,1345001001,NRCB,63,5.104,-6.5263023248676
12.3908527914363,12.3656134050019,70.6547641505423,6.20755940377152e+35,4.21657825523394e+35,2.13286170653661e+36,1620404511.17745,1618137490.84572,14357929317.8387,214.998284931313,52.9946640995966,1345001001,NRCB,64,4.608,-6.40840054876163
12.6352546372033,1.89467989845903,2.22878863499287,5.0599282044332e+39,3.09208446542572e+39,1.22992222863413e+40,1479581761.38904,230448194.250983,281454885.986943,214.859674326088,52.8881421012766,1345002001,NRCA,65,4.809,-1.09841585561969
1.00080350097361,0.165043586323023,0.255614692760781,6.21153352455935e+43,3.85280165479825e+43,6.1033555369213e+43,351033994.441875,61564909.1759101,102773286.297067,215.015113133006,52.9941249934409,1345001001,NRCB,66,4.645,1.22127002471328
3.15955860801368,0.320934019984356,0.427838214868383,5.63322443422566e+43,3.86376425299555e+43,1.43676021577482e+44,1000958653.41519,116743967.421519,165555818.785518,214.811661524713,52.8371373680498,1345003001,NRCA,67,5.28,0.546672647382721
0.0470265839572213,0.0124316611255554,0.0172218101958227,1.54830470879357e+45,9.34936523350489e+43,9.13160899176358e+43,14813682.7465681,4331847.37075609,5788860.45596359,214.864525535873,52.870867248239,1345003001,NRCB,68,5.322,0.597159522097229
2.97160916127781,1.28348431972589,2.17138033345831,7.03521006918692e+44,2.37313778360867e+44,3.95023186870365e+44,1969379324.76938,881742019.538368,1452264046.64123,214.823448632158,52.8302843221128,1345004001,NRCA,69,5.251,-12.3716924154128
42.4764372792216,10.5928572384101,11.4601953910895,2.453822497016e+35,1.453822497016e+35,3.09061629987007e+35,4988970959.50437,1246876438.73317,1415806926.89148,214.988779463042,52.9979755302667,1345001001,NRCB,70,4.642,-6.89866598928972
31.0010151077412,1.16250274681162,1.23170652591347,2.85657955966668e+35,1.72912559034508e+35,4.11890179448609e+35,26366617569.1875,1004336391.60418,1020259702.39375,215.151957733807,52.9740413723983,1345066001,NRCA,71,4.482,2.52667449539548
25.5298150898575,5.07127035570634,5.8729784360927,6.66560828536553e+44,1.58984577331662e+44,2.47818428905761e+44,17814490349.3792,3514002946.51047,4190337536.89838,215.085962694858,52.9522023724356,1345066001,NRCB,72,5.072,-0.0114816455378168
3.63239353290163,0.21019038444172,0.285104628416413,1.01395268361932e+37,7.71002551719013e+36,2.67489703340312e+37,1555924734.36116,89508070.0052471,121965996.024445,215.072403490853,52.9561004647159,1345066001,NRCB,73,3.796,1.15818619600363
0.175979272041947,0.0712477073195467,0.156423483377715,1.47663803528252e+44,1.02322019579783e+43,1.06533136271179e+43,56086256.6767031,23231161.0849493,49620432.7872431,214.891454361282,52.8674560509711,1345004001,NRCB,74,5.15,0.925953422778758
0.685462088109926,0.153893797563538,0.145516856522562,4.5683995970802e+38,3.49882337973853e+38,1.42772031566311e+39,208951912.592147,45968646.2667182,49045717.755544,214.890779939791,52.8139342231606,1345069001,NRCB,75,5.268,0.651752397712361
0.000165788639122673,1.90762511095828e-05,0.000172244418124449,3.0653025890979e+43,6.47678331761361e+42,7.28681975741441e+42,40737.0244225208,4165.15187142809,41304.0117679037,214.896001020448,52.8698199453322,1345064001,NRCB,76,7.487,-7.11217216118526
4.59286440397208,0.719207020359643,0.91854931351479,2.07186324689638e+44,1.66515088873551e+44,4.99386861739343e+44,1137676376.34537,179171769.589282,229326557.649406,214.927705520379,52.8499946891898,1345069001,NRCA,77,7.483,-1.43086119730527
0.889444755986943,0.14902135719283,0.257956909340605,1.5755657923948e+44,6.71699690407459e+43,9.10317233144565e+43,223184861.2813,35783507.1216256,60303198.1815889,214.898010701915,52.8248832507961,1345069001,NRCB,78,7.174,1.28417335434845
7.22851846611728,2.97101357797713,3.51933727189505,7.0800398864213e+43,5.34043522147544e+43,1.33469112564512e+44,698639976.953678,295322173.798559,350970551.404104,214.812073220986,52.7467408256169,1345071001,NRCB,79,7.477,-4.32851247758677
